
Alfa Romeo MiTo , 4063,1721,1446
Alfa Romeo 4C , 3989,1864,1183
Alfa Romeo Giulietta , 4351,1798,1465
Alfa Romeo Giulia , 4643,1860,1436
New Alfa Romeo Stelvio 2017 , 4687,1903,1671

Aston Martin V8 Vantage Coupe , 4385,1865,1260
Aston Martin V12 Vantage S , 4385,1865,1250
New Aston Martin DB11 2017 , 4739,1940,1279
Aston Martin Rapide S , 5020,1921,1350
Aston Martin Vanquish Coupe , 4692,1912,1294
Aston Martin Vanquish Volante , 4728,1912,1294

Audi A1 , 3973,1740,1416
Audi A1 Sportback , 3973,1746,1422
Audi S1 , 3975,1740,1417
Audi A3 , 4241,1777,1424
Audi A3 Sportback , 4313,1785,1426
Audi A3 Cabrio , 4423,1793,1409
Audi A3 Saloon , 4458,1796,1416
Audi S3 , 4252,1777,1401
Audi A4 , 4726,1842,1427
Audi A4 Avant , 4725,1842,1434
Audi A4 allroad quattro , 4750,1842,1493
Audi S4 , 4745,1842,1407
Audi A5 Coupé , 4673,1846,1371
Audi A5 Sportback , 4733,1843,1386
Audi S5 , 4692,1846,1368
Audi A6 , 4933,1874,1455
Audi A6 Avant , 4943,1874,1461
Audi A7 Sportback , 4974,1911,1420
New Audi A8 2018 , 5172,1945,1473
New Audi A8  , 5302,1945,1488
Audi TT Coupé , 4177,1832,1353
Audi R8 , 4426,1940,1240
Audi Q2 , 4191,1794,1508
Audi Q3 , 4388,1831,1608
New Audi Q5 2017 , 4663,1893,1659
Audi Q7 , 5052,1968,1740

New BMW 1 Series 2017 , 4329,1765,1440
BMW i3 , 3999,1775,1578
New BMW 2 Series Coupé 2017 , 4432,1774,1418
New BMW 2 Series Convertible 2017 , 4454,1774,1403
BMW 2 Series Active Tourer , 4342,1800,1555
BMW 2 Series Gran Tourer , 4556,1800,1641
BMW M2 Coupé , 4468,1854,1410
BMW 3 Series , 4633,1811,1429
BMW 3 Series Touring , 4633,1811,1429
BMW M3 Saloon , 4671,1877,1430
BMW 3 Series Gran Turismo , 4824,1828,1508
New BMW 4 Series Coupé 2017 , 4638,1825,1377
New BMW 4 Series Convertible 2017 , 4638,1825,1384
New BMW 4 Series Gran Coupé 2017 , 4638,1825,1389
BMW M4 Coupé , 4671,1870,1383
New BMW 5 Series 2017 , 4936,1868,1479
New BMW 5 Series Touring 2017 , 4943,1868,1498
BMW 5 Series Gran Turismo , 5004,1901,1559
BMW 6 Series Coupé , 4894,1894,1369
BMW M6 Coupé , 4898,1899,1374
BMW 7 Series , 5098,1902,1467
BMW X1 , 4439,1821,1612
New BMW X3 2017 , 4708,1891,1676
BMW X4 , 4671,1881,1624
BMW X5 , 4886,1938,1762
BMW X6 , 4909,1989,1702
BMW Z4 , 4239,1790,1291
BMW i8 , 4689,1942,1298

New Chevrolet Camaro 2017 , 4783,1900,1340
Chevrolet Corvette , 4492,1872,1239

Citroën C1 , 3466,1630,1460
Citroën C-Zero , 3475,1475,1608
Citroën E-Méhari , 3809,1728,1653
New Citroën C3 2017 , 3996,1749,1474
New Citroën C3 Aircross 2018 , 4154,1740,1637
Citroën C4 Cactus , 4157,1729,1530
Citroën C4 , 4329,1789,1489
Citroën C4 Aircross , 4341,1799,1625
Citroën C4 Picasso , 4438,1826,1625
Citroën Grand C4 Picasso , 4602,1826,1638
New Citroën C-Elysée 2017 , 4427,1748,1466
Citroën C5 , 4779,1860,1451
Citroën C5 Tourer , 4829,1860,1495
Citroën Nemo Multispace , 3959,1684,1782
Citroën Berlingo Multispace , 4380,1810,1862
Citroën SpaceTourer XS , 4606,1920,1905
Citroën SpaceTourer M , 4956,1920,1890
Citroën SpaceTourer XL , 5306,1920,1890

New Dacia Sandero 2017 , 4058,1733,1518
New Dacia Sandero Stepway 2017 , 4081,1733,1618
New Dacia Logan 2017 , 4347,1733,1517
New Dacia Logan MCV 2017 , 4492,1733,1550
New Dacia Logan MCV Stepway 2017 , 4501,1761,1590
Dacia Duster , 4315,1822,1695
Dacia Lodgy , 4498,1751,1680
Dacia Lodgy Stepway , 4521,1751,1680
Dacia Dokker , 4363,1751,1852
Dacia Dokker Stepway , 4388,1767,1852

DS DS3 , 3948,1715,1458
DS DS3 Cabrio , 3948,1715,1458
DS DS4 , 4284,1810,1502
DS DS4 Crossback , 4284,1810,1535
DS DS5 , 4530,1871,1505

Ferrari California T , 4570,1910,1322
Ferrari 458 Speciale , 4571,1951,1203
Ferrari 488 GTB , 4568,1952,1213
Ferrari 488 Spider , 4568,1952,1211
Ferrari F12berlinetta , 4618,1942,1273
Ferrari F12tdf , 4656,1961,1273
Ferrari GTC4Lusso , 4922,1980,1383
Ferrari LaFerrari , 4702,1992,1116

Fiat Panda , 3653,1643,1551
Fiat Panda 4x4 , 3686,1672,1605
Fiat 500 , 3571,1627,1488
Fiat Punto , 4065,1687,1490
Fiat 124 Spider , 4054,1740,1233
New Fiat 500 , 4242,1784,1658
New Fiat 500 , 4276,1800,1679
New Fiat 500 , 4375,1784,1667
Fiat 500X , 4273,1796,1608
Fiat Tipo 5-door , 4350,1792,1490
Fiat Tipo 4-door , 4540,1792,1490
Fiat Tipo SW , 4570,1792,1500
Fiat Fullback 2Cab , 5285,1785,1775
Fiat Qubo , 3957,1716,1782
Fiat Doblò , 4406,1832,1895
Fiat Doblò Maxi , 4756,1832,1927
Fiat Doblò Maxi XL , 4756,1832,2115
Fiat Scudo Combi , 4805,1895,1980
Fiat Scudo Combi Long , 5135,1895,1980

Ford Ka+ , 3929,1695,1524
New Ford Fiesta 2017 , 4040,1735,1476
Ford B-MAX , 4077,1751,1604
Ford Focus , 4360,1823,1469
Ford Focus SportBreak , 4560,1823,1492
Ford EcoSport , 4017,1765,1650
Ford C-MAX , 4379,1828,1610
Ford Grand C-MAX , 4519,1828,1642
New Ford Kuga 2017 , 4524,1838,1702
Ford S-MAX , 4796,1916,1655
Ford Mustang , 4783,1915,1382
Ford Mondeo , 4871,1852,1482
Ford Mondeo SportBreak , 4867,1852,1501
Ford Edge , 4808,1928,1692
Ford Galaxy , 4848,1916,1747
Ford Tourneo Courier , 4157,1764,1726
Ford Tourneo Connect , 4418,1835,1844
Ford Grand Tourneo Connect , 4818,1835,1828
Ford Tourneo Custom Short , 4972,1986,1972
Ford Tourneo Custom Long , 5339,1986,1976
Ford Ranger , 5362,1860,1815

Honda Jazz , 3995,1694,1525
New Honda Civic 2017 , 4518,1799,1434
Honda Civic Tourer , 4590,1770,1480
New Honda Civic 4-door 2017 , 4648,1799,1416
New Honda NSX 2017 , 4487,1939,1204
Honda HR-V , 4294,1772,1605
Honda CR-V , 4605,1820,1685

New Hyundai i10 2017 , 3665,1660,1500
Hyundai i20 , 4035,1734,1474
Hyundai i20 Coupe , 4045,1730,1449
Hyundai i20 Active , 4065,1760,1529
Hyundai ix20 , 4120,1765,1600
Hyundai Veloster  , 4220,1790,1399
New Hyundai i30 2017 , 4340,1795,1455
Hyundai i30 Tourer , 4485,1780,1500
Hyundai i40 , 4745,1815,1470
Hyundai i40 Tourer , 4775,1815,1470
Hyundai IONIQ , 4470,1820,1450
Hyundai Genesis , 4990,1890,1480
New Hyundai Kona 2018 , 4165,1800,1565
Hyundai Tucson , 4470,1850,1640
Hyundai Santa Fe , 4690,1880,1690
Hyundai Grand Santa Fe , 4915,1885,1700
Hyundai H-1 Travel , 5150,1920,1925

Infiniti Q30 , 4425,1805,1495
Infiniti Q50 , 4790,1820,1445
New Infiniti Q60 2017 , 4690,1850,1395
Infiniti Q70 , 4980,1845,1493
Infiniti QX30 , 4425,1815,1515
Infiniti QX50 , 4635,1800,1575
Infiniti QX70 , 4865,1925,1680

New Jaguar F-TYPE Coupe 2017 , 4482,1923,1310
New Jaguar F-TYPE Convertible 2017 , 4482,1923,1307
Jaguar XE , 4672,1850,1416
Jaguar XF , 4954,1880,1457
New Jaguar XF Sportbrake 2017 , 4955,1880,1496
Jaguar XJ , 5130,1899,1460
Jaguar XJ LWB , 5255,1899,1460
New Jaguar E-PACE 2018 , 4411,1900,1649
Jaguar F-PACE , 4746,1936,1652

Jeep Renegade , 4255,1805,1697
New Jeep Compass 2017 , 4395,1875,1640
Jeep Cherokee , 4623,1859,1669
Jeep Wrangler , 4223,1873,1825
Jeep Wrangler unlimited , 4751,1877,1825
Jeep Grand Cherokee , 4828,1943,1761

New Kia Picanto 2017 , 3595,1595,1485
New Kia Rio 2017 , 4065,1725,1450
Kia pro_cee'd , 4310,1780,1430
Kia cee'd , 4310,1780,1470
Kia cee'd Sportswagon , 4505,1780,1485
Kia Venga , 4075,1765,1600
Kia Soul , 4140,1800,1593
New Kia Niro 2017 , 4355,1805,1545
Kia Sportage , 4480,1855,1645
New Kia Carens 2017 , 4525,1805,1610
Kia Sorento , 4780,1890,1685
Kia Optima , 4855,1860,1465
Kia Optima Sportswagon , 4855,1860,1470

Lancia Ypsilon , 3837,1676,1518

Land Rover Discovery Sport , 4599,1920,1724
New Land Rover Discovery 2017 , 4970,1990,1888
Land Rover Defender 90 SW , 4040,1790,2000
Land Rover Defender 110 SW , 4785,1790,2035
Range Rover Evoque , 4370,1900,1635
Range Rover Evoque Convertible , 4370,1900,1609
New Range Rover Velar 2017 , 4803,1950,1665
Range Rover Sport , 4850,1990,1780
Range Rover , 4999,1990,1835
Range Rover LWB , 5199,1990,1840

Lexus CT , 4350,1765,1455
New Lexus IS 2017 , 4680,1810,1430
Lexus RC , 4695,1840,1395
Lexus NX , 4630,1845,1645
Lexus RX , 4890,1895,1685
